,precision,recall,f1-score,support,tes_res,tes_label
10,0.0,0.0,0.0,77.0,"tensor([[0., 0., 0.,  ..., 0., 0., 0.],
        [0., 0., 0.,  ..., 0., 0., 0.],
        [0., 0., 0.,  ..., 1., 0., 0.],
        ...,
        [0., 0., 0.,  ..., 0., 0., 0.],
        [0., 0., 0.,  ..., 0., 0., 0.],
        [0., 0., 0.,  ..., 0., 0., 0.]])","tensor([[1., 0., 0.,  ..., 0., 0., 0.],
        [0., 0., 0.,  ..., 0., 1., 0.],
        [0., 0., 0.,  ..., 1., 0., 0.],
        ...,
        [0., 0., 0.,  ..., 1., 0., 0.],
        [0., 0., 0.,  ..., 0., 0., 0.],
        [0., 0., 1.,  ..., 0., 1., 0.]])"
11,0.0,0.0,0.0,37.0,,
13,0.7333333333333333,0.13924050632911392,0.23404255319148937,79.0,,
14,0.0,0.0,0.0,16.0,,
2,0.8571428571428571,0.21428571428571427,0.34285714285714286,56.0,,
3,0.7142857142857143,0.05291005291005291,0.09852216748768473,189.0,,
5,1.0,0.05421686746987952,0.10285714285714286,166.0,,
6,0.4061302681992337,0.7090301003344481,0.5164433617539587,299.0,,
8,0.3333333333333333,0.016260162601626018,0.0310077519379845,123.0,,
P1-1,0.35714285714285715,0.040983606557377046,0.07352941176470587,122.0,,
micro avg,0.43791946308724833,0.22422680412371135,0.29659090909090907,1164.0,,
macro avg,0.4401368363437328,0.1226927010488212,0.1399259531850109,1164.0,,
weighted avg,0.5265787904607669,0.22422680412371135,0.20668852573856158,1164.0,,
samples avg,0.234,0.1993333333333333,0.20902380952380953,1164.0,,
