,precision,recall,f1-score,support
0,0.0,0.0,0.0,77.0
1,0.0,0.0,0.0,37.0
2,1.0,0.06329113924050633,0.11904761904761907,79.0
3,0.0,0.0,0.0,16.0
4,1.0,0.17857142857142858,0.30303030303030304,56.0
5,0.5625,0.14285714285714285,0.22784810126582278,189.0
6,1.0,0.018072289156626505,0.03550295857988166,166.0
7,0.35376044568245124,0.8494983277591973,0.4995083579154376,299.0
8,0.0,0.0,0.0,123.0
9,0.0,0.0,0.0,122.0
micro avg,0.38137755102040816,0.25687285223367695,0.30698151950718683,1164.0
macro avg,0.3916260445682451,0.12522903275849012,0.11849373398390642,1164.0
weighted avg,0.4407962828686022,0.25687285223367695,0.1930276977273845,1164.0
samples avg,0.2815,0.22378333333333336,0.24106190476190476,1164.0
