,precision,recall,f1-score,support,tes_res,tes_label
10,0.7142857142857143,0.06493506493506493,0.11904761904761903,77.0,"tensor([[1., 0., 0.,  ..., 0., 0., 0.],
        [0., 0., 0.,  ..., 0., 0., 0.],
        [0., 0., 0.,  ..., 1., 0., 0.],
        ...,
        [0., 0., 0.,  ..., 0., 0., 0.],
        [0., 0., 0.,  ..., 0., 0., 0.],
        [0., 0., 0.,  ..., 0., 0., 0.]])","tensor([[1., 0., 0.,  ..., 0., 0., 0.],
        [0., 0., 0.,  ..., 0., 1., 0.],
        [0., 0., 0.,  ..., 1., 0., 0.],
        ...,
        [0., 0., 0.,  ..., 1., 0., 0.],
        [0., 0., 0.,  ..., 0., 0., 0.],
        [0., 0., 1.,  ..., 0., 1., 0.]])"
11,0.0,0.0,0.0,37.0,,
13,1.0,0.13924050632911392,0.2444444444444444,79.0,,
14,0.0,0.0,0.0,16.0,,
2,0.8571428571428571,0.10714285714285714,0.19047619047619047,56.0,,
3,0.6578947368421053,0.13227513227513227,0.2202643171806167,189.0,,
5,0.5,0.006024096385542169,0.011904761904761906,166.0,,
6,0.49854227405247814,0.5719063545150501,0.5327102803738317,299.0,,
8,0.125,0.008130081300813009,0.015267175572519087,123.0,,
P1-1,0.6666666666666666,0.4426229508196721,0.5320197044334976,122.0,,
micro avg,0.5490981963927856,0.23539518900343642,0.3295249549007817,1164.0,,
macro avg,0.5019532248989822,0.14722770437032456,0.1866134493433481,1164.0,,
weighted avg,0.5456310812183697,0.23539518900343642,0.26530518147410115,1164.0,,
samples avg,0.2298333333333333,0.21375,0.21199047619047615,1164.0,,
