,precision,recall,f1-score,support,tes_res,tes_label
10,0.8333333333333334,0.06493506493506493,0.12048192771084336,77.0,"tensor([[0., 0., 0.,  ..., 0., 0., 0.],
        [0., 0., 0.,  ..., 0., 0., 0.],
        [0., 0., 0.,  ..., 1., 0., 0.],
        ...,
        [0., 0., 0.,  ..., 0., 0., 0.],
        [0., 0., 0.,  ..., 0., 0., 0.],
        [0., 0., 0.,  ..., 0., 0., 0.]])","tensor([[1., 0., 0.,  ..., 0., 0., 0.],
        [0., 0., 0.,  ..., 0., 1., 0.],
        [0., 0., 0.,  ..., 1., 0., 0.],
        ...,
        [0., 0., 0.,  ..., 1., 0., 0.],
        [0., 0., 0.,  ..., 0., 0., 0.],
        [0., 0., 1.,  ..., 0., 1., 0.]])"
11,0.0,0.0,0.0,37.0,,
13,1.0,0.0379746835443038,0.07317073170731708,79.0,,
14,0.0,0.0,0.0,16.0,,
2,0.7058823529411765,0.21428571428571427,0.3287671232876712,56.0,,
3,0.6363636363636364,0.3333333333333333,0.43749999999999994,189.0,,
5,0.48484848484848486,0.1927710843373494,0.27586206896551724,166.0,,
6,0.4521276595744681,0.568561872909699,0.5037037037037038,299.0,,
8,0.0,0.0,0.0,123.0,,
P1-1,0.5,0.01639344262295082,0.031746031746031744,122.0,,
micro avg,0.5017482517482518,0.24656357388316152,0.3306451612903226,1164.0,,
macro avg,0.46125554670610996,0.14282551959684156,0.17712315871210843,1164.0,,
weighted avg,0.49797235773343157,0.24656357388316152,0.27184671982080905,1164.0,,
samples avg,0.24233333333333332,0.2048333333333333,0.21462380952380955,1164.0,,
