,precision,recall,f1-score,support,tes_res,tes_label
10,1.0,0.09090909090909091,0.16666666666666669,77.0,"tensor([[1., 0., 0.,  ..., 0., 0., 0.],
        [0., 0., 0.,  ..., 1., 0., 0.],
        [0., 0., 0.,  ..., 1., 0., 0.],
        ...,
        [0., 0., 0.,  ..., 0., 0., 0.],
        [0., 0., 0.,  ..., 0., 0., 0.],
        [0., 0., 0.,  ..., 0., 0., 0.]])","tensor([[1., 0., 0.,  ..., 0., 0., 0.],
        [0., 0., 0.,  ..., 0., 1., 0.],
        [0., 0., 0.,  ..., 1., 0., 0.],
        ...,
        [0., 0., 0.,  ..., 1., 0., 0.],
        [0., 0., 0.,  ..., 0., 0., 0.],
        [0., 0., 1.,  ..., 0., 1., 0.]])"
11,0.0,0.0,0.0,37.0,,
13,0.75,0.1518987341772152,0.25263157894736843,79.0,,
14,0.0,0.0,0.0,16.0,,
2,0.5581395348837209,0.42857142857142855,0.48484848484848486,56.0,,
3,0.6153846153846154,0.3386243386243386,0.4368600682593856,189.0,,
5,0.65625,0.25301204819277107,0.36521739130434777,166.0,,
6,0.43031784841075793,0.5886287625418061,0.4971751412429379,299.0,,
8,0.0,0.0,0.0,123.0,,
P1-1,1.0,0.00819672131147541,0.016260162601626018,122.0,,
micro avg,0.5062111801242236,0.2800687285223368,0.3606194690265487,1164.0,,
macro avg,0.5010091998679094,0.1859841124328126,0.22196594938708172,1164.0,,
weighted avg,0.5527629234845338,0.2800687285223368,0.3039299743541865,1164.0,,
samples avg,0.25508333333333333,0.23075,0.23304523809523806,1164.0,,
