,precision,recall,f1-score,support,tes_res,tes_label
10,0.0,0.0,0.0,77.0,"tensor([[0., 0., 0.,  ..., 0., 0., 0.],
        [0., 0., 0.,  ..., 1., 0., 0.],
        [0., 0., 0.,  ..., 1., 0., 0.],
        ...,
        [0., 0., 0.,  ..., 1., 0., 0.],
        [0., 0., 0.,  ..., 0., 0., 0.],
        [0., 0., 0.,  ..., 0., 0., 0.]])","tensor([[1., 0., 0.,  ..., 0., 0., 0.],
        [0., 0., 0.,  ..., 0., 1., 0.],
        [0., 0., 0.,  ..., 1., 0., 0.],
        ...,
        [0., 0., 0.,  ..., 1., 0., 0.],
        [0., 0., 0.,  ..., 0., 0., 0.],
        [0., 0., 1.,  ..., 0., 1., 0.]])"
11,0.0,0.0,0.0,37.0,,
13,0.38235294117647056,0.16455696202531644,0.23008849557522124,79.0,,
14,0.0,0.0,0.0,16.0,,
2,0.4126984126984127,0.4642857142857143,0.4369747899159664,56.0,,
3,0.4666666666666667,0.14814814814814814,0.22489959839357426,189.0,,
5,0.56,0.08433734939759036,0.14659685863874347,166.0,,
6,0.34589502018842533,0.8595317725752508,0.49328214971209217,299.0,,
8,0.0,0.0,0.0,123.0,,
P1-1,0.6,0.29508196721311475,0.3956043956043956,122.0,,
micro avg,0.3793103448275862,0.32130584192439865,0.347906976744186,1164.0,,
macro avg,0.27676130407299754,0.20159419136451348,0.19274462878399928,1164.0,,
weighted avg,0.35317835438177964,0.32130584192439865,0.26223692529536546,1164.0,,
samples avg,0.2915833333333333,0.2755666666666667,0.27108095238095237,1164.0,,
