,precision,recall,f1-score,support,tes_res,tes_label
10,0.3333333333333333,0.025974025974025976,0.04819277108433735,77.0,"tensor([[0., 0., 0.,  ..., 0., 0., 0.],
        [0., 0., 0.,  ..., 0., 0., 0.],
        [0., 0., 0.,  ..., 1., 0., 0.],
        ...,
        [0., 0., 0.,  ..., 0., 0., 0.],
        [0., 0., 0.,  ..., 0., 0., 0.],
        [0., 0., 0.,  ..., 0., 0., 0.]])","tensor([[1., 0., 0.,  ..., 0., 0., 0.],
        [0., 0., 0.,  ..., 0., 1., 0.],
        [0., 0., 0.,  ..., 1., 0., 0.],
        ...,
        [0., 0., 0.,  ..., 1., 0., 0.],
        [0., 0., 0.,  ..., 0., 0., 0.],
        [0., 0., 1.,  ..., 0., 1., 0.]])"
11,0.0,0.0,0.0,37.0,,
13,0.5,0.12658227848101267,0.20202020202020204,79.0,,
14,0.0,0.0,0.0,16.0,,
2,0.5925925925925926,0.2857142857142857,0.3855421686746988,56.0,,
3,0.7083333333333334,0.08994708994708994,0.1596244131455399,189.0,,
5,0.5,0.006024096385542169,0.011904761904761906,166.0,,
6,0.38144329896907214,0.7424749163879598,0.5039727582292849,299.0,,
8,0.0,0.0,0.0,123.0,,
P1-1,0.4,0.01639344262295082,0.031496062992125984,122.0,,
micro avg,0.40540540540540543,0.23195876288659795,0.2950819672131148,1164.0,,
macro avg,0.3415702558228331,0.1293110135512867,0.13427531380509508,1164.0,,
weighted avg,0.4107202734051585,0.23195876288659795,0.19582163207488504,1164.0,,
samples avg,0.24158333333333332,0.20715,0.2162,1164.0,,
